,,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered*,,
496,October,2021,10/26/2021,3.81,15,"1,750",400,"4,800",30,220,740,12,64,,
497,October,2021,10/26/2021,2.61,15,980,120,"2,800",16,140,"1,000",20,44,,
498,November,2021,11/1/2021,3.02,15,"2,800",400,"5,500",24,240,880,32,50,,
499,November,2021,11/1/2021,2.54,15,"1,200",320,"3,000",12,150,400,2,42,,
500,November,2021,11/1/2021,3.09,15,840,240,"1,400",4,80,280,6,52,,
501,November,2021,11/1/2021,3.73,15,"1,040",250,"2,200",11,100,320,18,62,,
502,November,2021,11/1/2021,3.89,15,500,75,"1,500",10,110,460,4,65,,
503,November,2021,11/2/2021,3.90,15,800,100,"1,800",6,75,380,8,65,,
504,November,2021,11/2/2021,3.72,15,640,140,"2,000",12,100,500,2,62,,
505,November,2021,11/2/2021,2.66,15,900,150,"1,000",4,50,250,1,44,,
506,November,2021,11/3/2021,3.55,15,660,95,"2,800",24,100,375,20,59,,
507,November,2021,11/3/2021,2.80,15,750,150,"1,400",15,190,550,16,47,,
508,November,2021,11/13/2021,3.22,15,"3,800",450,"4,800",32,175,640,28,54,,
509,December,2021,12/7/2021,1.90,15,"2,900",290,"4,200",20,200,840,32,32,,
510,December,2021,12/31/2021,1.83,15,"1,800",320,"3,900",28,180,800,12,31,,
511,January,2022,1/5/2022,2.20,15,"2,700",220,"5,100",34,200,610,15,37,,
512,January,2022,1/18/2022,2.99,15,"4,200",520,"4,000",40,480,500,20,50,,
513,January,2022,1/18/2022,3.12,15,"3,000",325,"3,300",11,190,900,30,52,,
514,January,2022,1/19/2022,2.86,15,"1,200",80,"2,200",10,140,400,12,48,,
515,January,2022,1/19/2022,2.72,15,600,70,"1,000",13,24,180,4,45,,
517,March,2022,3/11/2022,2.15,15,"4,400",210,"5,200",30,140,500,28,36,,
516,February,2022,2/21/2022,2.71,15,"3,100",220,"4,400",28,110,650,36,45,,
518,March,2022,3/25/2022,4.66,15,"2,800",140,"3,300",18,80,550,36,78,,
519,March,2022,3/25/2022,2.35,15,"1,100",100,"3,000",24,100,600,12,39,,
520,April,2022,4/2/2022,2.75,15,"3,400",240,"4,800",34,81,800,18,46,,
521,April,2022,4/7/2022,2.59,15,"2,800",200,"5,000",10,120,540,21,43,,
522,April,2022,4/7/2022,3.70,15,800,64,"1,200",6,50,350,2,62,,
523,April,2022,4/7/2022,2.61,15,"1,800",110,"2,300",20,120,460,14,44,,
524,April ,2022,4/8/2022,3.97,15,540,50,900,4,64,240,0,66,,
525,April,2022,4/29/2022,4.51,15,"3,300",300,"4,200",34,140,640,20,75,,
526,May,2022,5/11/2022,2.83,15,"2,800",220,"3,600",22,180,780,30,47,,
527,May,2022,5/11/2022,4.14,15,900,48,"1,200",8,80,580,8,69,,
528,May ,2022,5/17/2022,3.21,15,"2,100",110,"5,000",24,140,900,28,54,,
529,May,2022,5/24/2022,3.83,15,"3,200",200,"6,200",40,120,"1,000",40,64,,
530,May,2022,5/31/2022,3.97,15,"1,440",75,"3,600",22,80,440,14,66,,
531,May,2022,5/31/2022,4.02,15,800,50,"1,800",10,64,320,6,67,,
532,May,2022,5/31/2022,3.76,15,540,110,"1,100",4,50,450,12,63,,
533,June,2022,6/1/2022,3.18,15,"2,900",420,"3,800",12,240,"1,100",9,53,,
534,June,2022,6/10/2022,4.02,15,"2,000",340,"2,900",8,320,880,20,67,,
535,June,2022,6/10/2022,3.36,15,960,120,"1,500",14,96,640,10,56,,
536,June,2022,6/11/2022,1.64,10,"3,200",290,"4,200",9,380,"1,000",6,27,,
537,June,2022,6/11/2022,3.76,15,"1,250",100,"2,100",24,200,960,18,63,,
538,June,2022,6/29/2022,1.97,15,"2,900",360,"3,200",12,400,840,14,33,,
539,June,2022,6/29/2022,3.96,15,"2,100",240,"4,800",20,360,"1,200",21,66,,
540,July,2022,7/5/2022,3.77,15,"3,600",320,"5,000",12,330,"1,400",18,63,,
541,July,2022,7/5/2022,3.25,15,"1,400",120,"3,600",22,280,980,30,54,,
542,July,2022,7/15/2022,2.75,15,"3,900",200,"4,200",21,210,"1,200",18,46,,
543,July,2022,7/18/2022,2.70,15,"3,000",240,"4,400",24,270,"1,100",12,45,,
544,July,2022,7/18/2022,3.39,15,"1,800",96,"2,800",4,120,980,10,57,,
545,July,2022,7/21/2022,2.82,15,"2,700",180,"3,800",10,200,860,21,47,,
546,July,2022,7/27/2022,2.03,15,"2,400",120,"4,400",28,360,"1,500",24,34,,
547,July,2022,7/29/2022,1.69,13,"2,900",210,"4,900",16,290,900,12,28,,
548,August,2022,8/9/2022,2.84,15,"1,400",280,"3,500",12,140,750,20,47,,
549,August,2022,8/19/2022,2.25,15,"3,900",340,"5,500",20,200,"1,100",30,38,,
550,September,2022,9/9/2022,3.09,15,"4,200",390,"4,800",10,180,960,21,52,,
551,September,2022,9/13/2022,3.67,15,"2,800",120,"4,200",12,150,"1,000",36,61,,
552,September,2022,9/14/2022,3.64,15,"1,900",200,"6,300",8,80,"1,260",14,61,,
553,September,2022,9/14/2022,3.78,15,960,75,"2,900",11,100,660,8,63,,
554,September,2022,9/14/2022,3.69,15,640,50,"1,800",24,140,500,6,62,,
555,September,2022,9/15/2022,3.88,15,750,84,"2,200",9,72,480,18,65,,
556,September,2022,9/15/2022,4.18,15,500,48,"1,800",10,84,360,5,70,,
557,October,2022,10/7/2022,2.73,14,"3,500",280,"4,900",21,210,"1,000",21,46,,
558,October,2022,10/7/2022,4.39,15,"2,900",320,"5,500",36,180,"1,360",18,73,,
559,November,2022,11/10/2022,2.03,15,"2,100",100,"4,900",42,150,"1,600",30,34,,
560,November,2022,11/14/2022,3.12,15,"3,200",280,"5,400",24,200,"1,200",32,52,,
561,November,2022,11/22/2022,2.27,15,"1,800",150,"2,900",12,160,980,21,38,,
562,December,2022,12/9/2022,2.54,15,"1,500",84,"3,900",36,190,"1,400",40,42,,
563,December,2022,12/17/2022,3.27,15,"2,100",120,"4,200",18,220,"1,600",21,55,,
564,December,2022,12/17/2022,2.79,15,"1,000",48,"2,100",8,64,900,14,47,,
565,December,2022,12/21/2022,3.15,15,"2,900",320,"4,800",21,180,"1,900",36,53,,
566,December,2022,12/28/2022,3.02,15,"1,600",100,"3,600",24,200,"2,000",27,50,,
567,December,2022,12/29/2022,3.36,15,"2,100",120,"1,800",21,110,"1,600",14,56,,
568,January,2023,1/27/2023,3.23,15,"1,700",210,"2,900",15,180,"1,500",10,54,,
569,February,2023,2/20/2023,3.03,15,"2,400",300,"3,300",21,210,"1,100",21,51,,
570,February,2023,2/20/2023,3.53,15,"3,600",280,"4,200",24,240,"2,200",30,59,,
571,March,2023,3/6/2023,3.14,15,"2,700",180,"3,200",18,270,"1,700",20,52,,
572,March,2023,3/29/2023,3.41,15,"2,900",200,"3,000",20,200,"1,400",14,57,,
573,April,2023,4/17/2023,4.78,15,"1,800",90,"2,400",16,170,980,11,80,,
574,April,2023,4/17/2023,5.31,15,"2,200",210,"3,800",30,280,"1,800",28,89,,
575,April,2023,4/20/2023,2.97,15,"3,000",280,"4,000",22,320,"2,100",18,50,,
576,April,2023,4/24/2023,3.66,15,"2,100",200,"3,300",21,260,"2,100",24,61,,
577,April,2023,4/24/2023,4.87,15,"1,000",64,"1,900",10,120,900,9,81,,
578,April,2023,4/24/2023,5.31,15,"2,700",190,"3,600",32,340,"2,000",32,89,,
579,May,2023,5/4/2023,3.66,15,"2,200",420,"4,100",27,290,"2,300",40,61,,
580,May,2023,5/4/2023,2.62,15,"3,100",380,"2,900",40,220,"1,800",21,44,,
581,June,2023,6/28/2023,3.56,15,"3,400",480,"4,400",36,310,"2,200",27,59,,
582,June,2023,6/28/2023,3.79,15,"4,000",390,"4,200",32,400,"1,400",38,63,,
583,June,2023,6/28/2023,2.28,10,"2,100",300,"3,300",12,240,"1,000",18,38,,
584,June,2023,6/29/2023,3.90,15,"1,900",220,"4,700",30,180,"2,100",21,65,,
585,July,2023,7/3/2023,4.08,15,"2,300",310,"3,900",27,220,"1,400",30,68,,
586,July,2023,7/5/2023,4.36,15,"3,200",270,"5,200",21,320,"1,800",27,73,,
587,July,2023,7/5/2023,4.23,15,"1,200",180,"2,500",18,190,"1,500",14,71,,
588,July,2023,7/10/2023,3.71,15,"3,400",400,"4,500",22,280,"2,200",27,62,,
589,July,2023,7/10/2023,3.58,15,"2,100",200,"3,200",29,250,"1,800",21,60,,
590,July,2023,7/10/2023,3.79,15,980,80,"1,400",6,150,980,2,63,,
591,July,2023,7/10/2023,3.88,15,540,48,980,0,120,450,8,65,,
592,July ,2023,7/10/2023,3.81,15,"1,100",100,"2,100",12,48,900,12,64,,
593,July,2023,7/11/2023,3.82,15,750,50,"1,200",10,110,"1,200",10,64,,
594,July,2023,7/24/2023,1.89,10,"1,800",160,"3,200",24,220,"1,700",24,32,,
595,July,2023,7/24/2023,3.58,15,"2,300",390,"5,000",32,360,"2,400",30,60,,
596,July,2023,7/31/2023,3.67,15,"3,400",480,"5,800",24,440,"3,000",18,61,,
597,July,2023,7/31/2023,2.91,15,"2,700",300,"4,200",38,220,"1,800",30,49,,
598,August,2023,8/8/2023,4.44,15,"3,000",440,"5,400",21,330,"1,400",24,74,,
599,August,2023,8/9/2023,3.41,15,"3,800",350,"6,000",18,120,"2,100",40,57,,
600,August,2023,8/10/2023,3.83,15,"4,200",480,"4,800",40,270,"2,400",21,64,,
601,August,2023,8/10/2023,2.67,15,"1,800",90,"3,800",27,420,"1,850",42,45,,
602,August,2023,8/14/2023,2.15,10,"2,000",290,"4,300",24,400,"3,000",36,36,,
603,August,2023,8/17/2023,3.08,15,"3,300",400,"5,500",44,310,"1,100",10,51,,
604,September,2023,9/11/2023,2.77,15,"4,200",500,"4,200",18,540,"2,900",30,46,,
605,September,2023,9/11/2023,3.55,15,"1,200",210,"3,100",10,200,"1,400",6,59,,
606,September,2023,9/12/2023,3.51,15,"2,200",340,"4,400",20,140,"2,000",20,59,,
607,september,2023,9/12/2023,3.32,15,850,150,"1,800",8,180,"1,500",18,55,,
608,September,2023,9/12/2023,3.10,15,980,80,"2,100",16,80,"1,100",4,52,,
609,September,2023,9/13/2023,3.97,15,300,50,"1,500",12,120,600,0,66,,
610,September,2023,9/13/2023,2.86,15,450,120,900,0,100,800,0,48,,
611,September,2023,9/13/2023,3.53,15,80,20,500,4,40,350,2,59,,
612,September,2023,9/19/2023,2.39,10,"1,800",240,"3,600",24,280,"2,100",27,40,,
613,September,2023,9/19/2023,3.26,15,"2,200",380,"4,800",40,410,"2,700",18,54,,
614,September,2023,9/26/2023,3.55,15,"3,400",360,"4,200",20,300,"1,200",14,59,,
615,October,2023,10/10/2023,2.27,15,"3,100",240,"3,300",12,220,980,30,38,,
616,October,2023,10/18/2023,2.19,15,"2,600",190,"3,900",18,290,"1,600",20,37,,
617,November,2023,11/24/2023,3.36,15,"1,800",120,"2,400",6,140,"1,900",14,56,,
618,November,2023,11/24/2023,2.93,15,"1,200",180,"3,200",12,180,"1,000",22,49,,
619,November,2023,11/24/2023,2.46,15,"2,200",210,"3,700",21,240,"1,200",18,41,,
620,November,2023,11/24/2023,3.23,15,"1,400",100,"2,000",8,80,980,10,54,,
621,November,2023,11/29/2023,2.07,10,"2,100",180,"2,800",18,200,"1,500",30,35,,
622,November,2023,11/29/2023,2.63,15,"1,600",240,"3,200",28,260,"1,100",18,44,,
623,November,2023,11/29/2023,2.95,15,"2,000",160,"4,400",24,180,"2,200",12,49,,
624,December,2023,12/12/2023,3.18,15,"3,200",240,"4,200",30,210,"1,800",16,53,,
625,December,2023,12/12/2023,3.73,15,"2,100",190,"3,000",22,190,"1,200",20,62,,
626,December,2023,12/20/2023,3.01,15,"1,400",120,"2,900",12,220,980,32,50,,
627,December,2023,12/20/2023,2.34,15,880,75,"2,600",8,140,"1,400",10,39,,
628,December,2023,12/23/2023,2.88,15,"2,000",140,"3,200",18,200,"1,900",22,48,,
629,December,2023,12/23/2023,2.51,15,"1,200",210,"4,000",27,250,"1,600",21,42,,
,,,,"2,019.54","9,589","1,246,155","920,011","11,735,100","13,502","545,554","898,129","8,553","30,020",,
